ticker,date,compound,Interpretation
ABT,2020-12-22,0.3021,Positive
ABT,2020-12-24,0.6369,Positive
ABT,2020-12-27,0.5719,Positive
ABT,2020-12-30,0.4019,Positive
ABT,2020-12-31,0.34,Positive
ABT,2021-01-05,0.125,Positive
ABT,2021-01-06,0.18225,Positive
ABT,2021-01-07,-0.0258,Neutral
ABT,2021-01-08,0.4939,Positive
ABT,2021-01-09,0.0,Neutral
ABT,2021-01-11,0.0,Neutral
ABT,2021-01-12,0.6483,Positive
ABT,2021-01-13,0.1468,Positive
ABT,2021-01-14,-0.27115,Negative
ABT,2021-01-15,0.6369,Positive
ABT,2021-01-19,0.274125,Positive
ABT,2021-01-20,-0.042666666666666665,Neutral
ABT,2021-01-21,0.0,Neutral
AJG,2020-06-29,0.0,Neutral
AJG,2020-07-07,0.5106,Positive
AJG,2020-07-10,0.0,Neutral
AJG,2020-07-12,0.0,Neutral
AJG,2020-07-14,0.0,Neutral
AJG,2020-07-23,0.3818,Positive
AJG,2020-07-27,0.0,Neutral
AJG,2020-07-29,0.2294,Positive
AJG,2020-07-30,0.5106,Positive
AJG,2020-07-31,-0.1531,Negative
AJG,2020-08-04,0.5106,Positive
AJG,2020-08-05,-0.2732,Negative
AJG,2020-08-06,0.0,Neutral
AJG,2020-08-10,0.6249,Positive
AJG,2020-08-12,0.318575,Positive
AJG,2020-08-20,0.0,Neutral
AJG,2020-08-29,0.20095,Positive
AJG,2020-09-02,0.0,Neutral
AJG,2020-09-08,0.3818,Positive
AJG,2020-09-09,0.0,Neutral
AJG,2020-09-16,0.20396666666666666,Positive
AJG,2020-09-18,0.2294,Positive
AJG,2020-09-21,0.05135,Positive
AJG,2020-09-22,0.0,Neutral
AJG,2020-09-28,0.0,Neutral
AJG,2020-09-30,0.0,Neutral
AJG,2020-10-04,0.5574,Positive
AJG,2020-10-14,0.23653333333333335,Positive
AJG,2020-10-19,0.25,Positive
AJG,2020-10-20,-0.1531,Negative
AJG,2020-10-21,0.4767,Positive
AJG,2020-10-22,0.3818,Positive
AJG,2020-10-26,0.0,Neutral
AJG,2020-10-27,0.0772,Positive
AJG,2020-10-28,0.0,Neutral
AJG,2020-10-29,0.0,Neutral
AJG,2020-10-30,0.29205,Positive
AJG,2020-11-03,-0.1027,Negative
AJG,2020-11-04,0.17,Positive
AJG,2020-11-05,0.4491,Positive
AJG,2020-11-09,0.6249,Positive
AJG,2020-11-10,0.1591,Positive
AJG,2020-11-11,0.0,Neutral
AJG,2020-11-13,0.3182,Positive
AJG,2020-11-16,0.7096,Positive
AJG,2020-11-18,0.1909,Positive
AJG,2020-11-19,0.4253,Positive
AJG,2020-11-30,0.368,Positive
AJG,2020-12-01,0.18045,Positive
AJG,2020-12-02,0.1591,Positive
AJG,2020-12-04,0.7096,Positive
AJG,2020-12-08,0.3182,Positive
AJG,2020-12-09,0.3182,Positive
AJG,2020-12-15,0.3062,Positive
AJG,2020-12-16,0.0,Neutral
AJG,2020-12-18,0.0,Neutral
AJG,2020-12-21,0.27155,Positive
AJG,2020-12-27,0.6705,Positive
AJG,2020-12-28,0.296,Positive
AJG,2020-12-29,0.0,Neutral
AJG,2020-12-30,0.1027,Positive
AJG,2021-01-05,0.0,Neutral
AJG,2021-01-06,0.0,Neutral
AJG,2021-01-07,0.0,Neutral
AJG,2021-01-08,0.1027,Positive
AJG,2021-01-11,0.0,Neutral
AJG,2021-01-12,0.24695,Positive
AJG,2021-01-13,0.0,Neutral
AJG,2021-01-14,0.25,Positive
AJG,2021-01-19,0.0,Neutral
AJG,2021-01-20,0.3182,Positive
DG,2020-10-27,0.34,Positive
DG,2020-10-30,0.0,Neutral
DG,2020-11-01,0.6597,Positive
DG,2020-11-02,-0.0258,Neutral
DG,2020-11-03,0.2523,Positive
DG,2020-11-04,0.0,Neutral
DG,2020-11-05,-0.4939,Negative
DG,2020-11-06,0.0,Neutral
DG,2020-11-08,0.0,Neutral
DG,2020-11-10,0.3727666666666667,Positive
DG,2020-11-12,0.10115,Positive
DG,2020-11-13,0.27921999999999997,Positive
DG,2020-11-14,0.0,Neutral
DG,2020-11-16,0.49429999999999996,Positive
DG,2020-11-17,0.33547499999999997,Positive
DG,2020-11-18,0.0,Neutral
DG,2020-11-19,0.49890000000000007,Positive
DG,2020-11-20,0.2023,Positive
DG,2020-11-23,0.0,Neutral
DG,2020-11-24,0.0,Neutral
DG,2020-11-25,0.0,Neutral
DG,2020-11-26,0.0,Neutral
DG,2020-11-27,0.0,Neutral
DG,2020-11-28,0.0,Neutral
DG,2020-11-29,0.0,Neutral
DG,2020-11-30,0.0,Neutral
DG,2020-12-01,0.4404,Positive
DG,2020-12-02,-0.038275,Neutral
DG,2020-12-03,0.13637857142857143,Positive
DG,2020-12-04,0.3457666666666667,Positive
DG,2020-12-05,0.0,Neutral
DG,2020-12-07,0.4404,Positive
DG,2020-12-08,0.23013333333333333,Positive
DG,2020-12-14,0.7096,Positive
DG,2020-12-15,0.128,Positive
DG,2020-12-16,0.3041666666666667,Positive
DG,2020-12-21,0.5267,Positive
DG,2020-12-23,0.10115,Positive
DG,2020-12-25,0.4939,Positive
DG,2020-12-29,0.0,Neutral
DG,2020-12-31,0.34,Positive
DG,2021-01-01,0.2779666666666667,Positive
DG,2021-01-06,0.4404,Positive
DG,2021-01-07,0.0,Neutral
DG,2021-01-08,0.0,Neutral
DG,2021-01-11,0.0,Neutral
DG,2021-01-13,-0.16713333333333333,Negative
DG,2021-01-14,0.0,Neutral
DG,2021-01-19,-0.05135,Negative
DG,2021-01-20,0.34,Positive
DG,2021-01-21,0.4767,Positive
FBHS,2020-05-12,0.49429999999999996,Positive
FBHS,2020-05-19,0.0,Neutral
FBHS,2020-05-30,0.34,Positive
FBHS,2020-06-05,-0.3744,Negative
FBHS,2020-06-08,-0.296,Negative
FBHS,2020-06-16,0.0,Neutral
FBHS,2020-06-22,0.3818,Positive
FBHS,2020-06-24,0.0,Neutral
FBHS,2020-07-08,0.0,Neutral
FBHS,2020-07-13,0.11333333333333334,Positive
FBHS,2020-07-17,0.34,Positive
FBHS,2020-07-22,0.44115000000000004,Positive
FBHS,2020-07-23,0.7579,Positive
FBHS,2020-07-24,0.125,Positive
FBHS,2020-07-27,0.0,Neutral
FBHS,2020-07-28,0.2787,Positive
FBHS,2020-07-29,0.4253,Positive
